stock_id,date,recommendation,final_score,pv_score,mt_score,dd_score,current_price,suggested_entry,reasons,return_5d,return_10d,return_20d,return_60d,return_120d,max_drawdown_20d
2454,2023-10-02,AVOID,-0.1,0.0,-0.5,0.0,745.0,,breakout inactive; margin trend negative; no active Davis signal; EPS declining; valuation elevated (PE > 30),9.2617,9.1275,13.557,39.5973,56.3758,0.0
2317,2023-10-03,WAIT,0.14,0.0,0.7,0.0,104.0,104.0,breakout inactive; margin trend positive; no active Davis signal; EPS improving; valuation elevated (PE > 30),2.8846,-0.4808,-6.7308,0.0,52.8846,-9.1346
2412,2023-10-03,AVOID,-0.2,0.0,-1.0,0.0,116.0,,breakout inactive; margin trend negative; no active Davis signal; valuation elevated (PE > 30),0.431,0.0,1.7241,3.4483,7.7586,-0.8621
2454,2023-10-03,WAIT,0.1,0.0,0.5,0.0,772.0,740.65,breakout inactive; margin trend positive; no active Davis signal; EPS declining; valuation elevated (PE > 30),5.5699,7.513,12.4352,32.772,50.2591,0.0
2317,2023-10-04,WAIT,0.14,0.0,0.7,0.0,103.0,103.0,breakout inactive; margin trend positive; no active Davis signal; EPS improving; valuation elevated (PE > 30),4.3689,0.4854,-6.9903,1.4563,53.3981,-8.2524
2412,2023-10-04,AVOID,-0.2,0.0,-1.0,0.0,115.0,,breakout inactive; margin trend negative; no active Davis signal; valuation elevated (PE > 30),0.8696,0.4348,2.1739,4.3478,10.0,0.0
2454,2023-10-04,WAIT,0.2,0.0,1.0,0.0,780.0,743.75,breakout inactive; margin trend positive; no active Davis signal; EPS declining; valuation elevated (PE > 30),7.9487,6.1538,11.5385,30.1282,47.4359,0.0
2412,2023-10-05,AVOID,-0.2,0.0,-1.0,0.0,115.0,,breakout inactive; margin trend negative; no active Davis signal; valuation elevated (PE > 30),1.3043,0.4348,2.1739,4.7826,9.1304,0.0
2454,2023-10-05,WATCH,0.36,0.4,1.0,0.0,786.0,786.0,breakout without volume confirmation; margin trend positive; no active Davis signal; EPS declining; valuation elevated (PE > 30),6.8702,4.4529,12.2137,24.8092,47.5827,0.0
2882,2023-10-05,AVOID,-0.1,0.0,-0.5,0.0,44.05,,breakout inactive; margin trend negative; no active Davis signal; EPS improving,3.2917,0.1135,2.9512,3.2917,12.2588,-0.454
2317,2023-10-06,WAIT,0.1,0.0,0.5,0.0,105.5,105.2,breakout inactive; margin trend positive; no active Davis signal; EPS improving; valuation elevated (PE > 30),0.9479,-6.8246,-8.91,-0.9479,46.4455,-10.4265
2412,2023-10-06,WAIT,0.14,0.0,0.7,0.0,115.5,115.5,breakout inactive; margin trend positive; no active Davis signal; valuation elevated (PE > 30),0.8658,0.0,2.1645,3.8961,9.0909,-0.4329
2454,2023-10-06,WAIT,0.2,0.0,1.0,0.0,786.0,750.9,breakout inactive; margin trend positive; no active Davis signal; EPS declining; valuation elevated (PE > 30),4.9618,3.8168,12.9771,21.2468,52.0356,0.0
2330,2023-10-11,WAIT,0.2,0.0,1.0,0.0,544.0,533.3,breakout inactive; margin trend positive; no active Davis signal; EPS declining; valuation elevated (PE > 30),-0.7353,0.0,2.2059,6.6176,50.7353,-2.9412
2412,2023-10-11,WAIT,0.1,0.0,0.5,0.0,116.5,116.45,breakout inactive; margin trend positive; no active Davis signal; valuation elevated (PE > 30),-0.4292,-0.8584,1.7167,2.1459,8.5837,-1.2876
2454,2023-10-11,WATCH,0.52,0.8,1.0,0.0,814.0,814.0,breakout confirmed with volume; margin trend positive; no active Davis signal; EPS declining; valuation elevated (PE > 30),-0.1229,0.9828,12.285,14.0049,47.4201,-1.5971
2882,2023-10-11,WAIT,0.2,0.0,1.0,0.0,45.95,45.33,breakout inactive; margin trend positive; no active Davis signal; EPS improving; valuation elevated (PE > 30),-0.7617,-3.9173,-1.9587,-2.7203,8.161,-4.5702
2317,2023-10-12,WAIT,0.1,0.0,0.5,0.0,107.0,105.3,breakout inactive; margin trend positive; no active Davis signal; EPS improving; valuation elevated (PE > 30),-3.271,-7.9439,-8.5047,-2.8037,40.6542,-11.6822
